hostname,ip_address,device_type,serial_number,model,manufacturer,firmware_version,os_version,location,rack_position,data_center,department,owner,cost,asset_tag,asset_status,device_group,custom_group,notes
router-01,10.101.1.1,router,SN123456789,Cisco ISR4321,Cisco,16.9.4,IOS-XE,Data Center A,Rack 01-01,Primary DC,EIS,John Doe,2500.00,ASSET-001,active,production,Core Network,Primary router for office network
switch-01,10.101.1.2,switch,SN987654321,HP ProCurve 2920,HP,15.16.0001,ProCurve,Data Center A,Rack 01-02,Primary DC,EIS,Jane Smith,1800.00,ASSET-002,active,production,Access Layer,Access switch for floor 1
firewall-01,10.101.1.3,firewall,SN456789123,FortiGate 60F,Fortinet,7.0.5,FortiOS,Data Center A,Rack 01-03,Primary DC,EIS,Bob Johnson,3200.00,ASSET-003,active,production,DMZ,Perimeter firewall
server-01,10.101.1.10,server,SN789123456,Dell PowerEdge R740,Dell,2.8.1,iDRAC,Data Center A,Rack 02-01,Primary DC,EIS,Alice Brown,4500.00,ASSET-004,active,production,Application Servers,Web application server
workstation-01,10.101.1.100,workstation,SN321654987,Dell OptiPlex 7090,Dell,2.8.1,Windows 10,Office Building,Desk 101,Office,EIS,Charlie Wilson,1200.00,ASSET-005,active,production,Development,Developer workstation
core-main,10.101.1.4,switch,CAT12345678,Cisco Catalyst 6509,Cisco,15.1(2)SY4,IOS,Main Campus Data Center,Rack 01-01,Main Campus DC,EIS,Dr. Sarah Chen,45000.00,ASSET-006,active,production,Core Network,Primary core switch for main campus
lib-sw-01,10.101.2.1,switch,CAT23456789,Cisco Catalyst 2960-48LPD-L,Cisco,15.0(2)SE11,IOS,University Library,Floor 1-01,Main Campus DC,EAS,Prof. Michael Rodriguez,2800.00,ASSET-007,active,production,Access Layer,Library access switch for student computers
sci-core,10.101.3.1,switch,CAT34567890,Cisco Catalyst 3560-48PS-S,Cisco,12.2(55)SE12,IOS,Science Building,Floor 1-01,Main Campus DC,EAS,Dr. Emily Watson,3200.00,ASSET-008,active,production,Distribution Layer,Core switch for Science Building
eng-lab-01,10.101.3.2,switch,CAT45678901,Cisco Catalyst 2960-24TC-L,Cisco,15.0(2)SE11,IOS,Engineering Building,Lab 101,Main Campus DC,EAS,Prof. David Kim,2200.00,ASSET-009,active,production,Access Layer,Engineering lab switch for robotics lab
stu-center,10.101.4.1,switch,CAT56789012,Cisco Catalyst 3750-48PS-S,Cisco,12.2(55)SE12,IOS,Student Center,Floor 1-01,Main Campus DC,ADM,Ms. Lisa Thompson,3500.00,ASSET-010,active,production,Distribution Layer,Student center distribution switch
